Gènere;Edat;interesos_academics_i_laborals;te_preferencia_per_genere;pref_tipus_lectura;ventall_pagines;sagues;te_preferencia_per_autor;caracteristiques_literaries;pref_llibres_exit;pref_adaptacio_peli;pref_best_seller;ha_llegit
Dona;20;IA;Ficció, Ciència Ficció, Comèdia, Comèdia romàntica, Històrica, Autoajuda;No tinc preferència;250-Més de 350;Novel.les individuals;Madelline Miller;;Sí;Sí;No;
Dona;20;IA;Ciència Ficció, Històrica;Lectures més pausades;250-Més de 350;Sagues;;;No;Sí;No;
Home;12;Estudis;Fantasia;Llibres fàcils de llegir;150-350;Sagues;J.K.Rowling;En què esta ambientada la història.;Sí;Sí;;Percy Jackson, Harry Potter, Geronimo Stilton, Los futbolisimos
Dona;20;Estudiant IA;Ficció, Ciència Ficció, Comèdia, Comèdia romàntica, Històrica;No tinc preferència;50-Més de 350;Novel·les individuals;C.S Lewis, J.K.Rowling, Jane Austen, Stephen Hawking, Stephen King;"En tots; gènere de llibres concrets de l’autor, llibres d’interés y estil d’escriptura ";Sí;Sí;No;"The song of Achiles, Conversaciones entre amigos 
"
Home;20;Lingüística, Llengües;Històrica, Assaig;Llibres fàcils de llegir;50-250;Novel·les individuals;Isaac Asimov, J.R.R Tolkien, Jane Austen, Mark Twain, Stephen King, Sun Tzu;temes rellevants / estil agradable o interessant / registre elevat;No;No;No;La brúixola del zen, La saga Discmón, Orgull i prejudici, Els colors de la neu, El llibre de l'hivern
Dona;20;Comerç Internacional;Ficció, Comèdia;No tinc preferència;150-250;Novel·les individuals;Ken Follett;;Sí;No;Sí;
Altres;33;Universitat ;Ficció, Ciència Ficció;Llibres fàcils de llegir;150-250;Novel·les individuals;Stephen Hawking;Ensenya coses brutals amb humor i claredat;No;Sí;No;El joc d’Ender, Brevisima història del temps, Geronimo Stilton
Home;18;Fisica;Històrica, Política, Filosòfia, Ciencia;Llibres fàcils de llegir;50-250;Novel·les individuals;Stephen Hawking, Carlo Rovelli, Karl Marx;Facilitat per fer amena una explicació complexa;Sí;No;No;El orden del tiempo, La revolució menorquina del 1810, 1984, Homenatge a Catalunya, Set lliçons de física, Així parlà Zaratustra, El Manifest Comunista, Societat i Treball assalariat, Desobediència i democràcia
Home;18;Física;Ciència Ficció, Star Wars ;Llibres fàcils de llegir;50-150;Sagues;George Lucas;Molta imaginació i creativitat ;No;Sí;No;Star Wars
Home;20;Disseny;Ficció, Històrica, Poesia;Lectures més pausades;50-350;Novel·les individuals;Ken Follett, Eduardo Galeano;Iexic, forma de narrar, expresio pausada de les emocions, metafores.;Sí;Sí;No;Las venas abiertas de america latina, el libro de los abrazos, el hombre en busca del sentido, la peste, el nacimiento de la tragedia, modos de ver, desconfiar de la imagenes, el medio es el masaje
