,id_usuari,llibre_recomanat,score,any_naixement,Comedia,Historica,Romance,Ciencia_Ficcio,Ficcio,Fantasia,Ciencia,Creixement_personal,Autoajuda,Policiaca,Juvenil,Densa,Fluida,pagines_max,pref_adaptacio_peli_Si,pref_best_seller_Si,genere_persona_altres,genere_persona_dona,pref_sagues_Indiferent,pref_sagues_Si
0,0,Conversations_with_Friends,5,2003,1,1,1,1,1,0,0,0,0,0,0,1,1,350,1,0,0,1,0,0
1,0,The_song_of_Achiles,5,2003,1,1,1,1,1,0,0,0,0,0,0,1,1,350,1,0,0,1,0,0
2,0,Los_Juegos_del_Hambre,5,2003,1,1,1,1,1,0,0,0,0,0,0,1,1,350,1,0,0,1,0,0
3,0,Pride_and_Prejudice,5,2003,1,1,1,1,1,0,0,0,0,0,0,1,1,350,1,0,0,1,0,0
4,0,Un_cuento_Perfecto,5,2003,1,1,1,1,1,0,0,0,0,0,0,1,1,350,1,0,0,1,0,0
5,1,Percy_Jackson_i_els_herois_grecs,5,2011,0,0,0,0,0,1,0,0,0,0,0,0,1,350,1,1,0,0,0,1
6,1,Los_Futbolisimos_6,5,2011,0,0,0,0,0,1,0,0,0,0,0,0,1,350,1,1,0,0,0,1
7,1,Harry_Potter_and_the_Philosophers_Stone,5,2011,0,0,0,0,0,1,0,0,0,0,0,0,1,350,1,1,0,0,0,1
8,2,The_song_of_Achiles,5,2003,1,1,1,1,1,0,0,0,0,0,0,1,1,100000000,1,0,0,1,0,0
9,2,Conversations_with_Friends,5,2003,1,1,1,1,1,0,0,0,0,0,0,1,1,100000000,1,0,0,1,0,0
10,3,Filosofia_del_budismo_zen,5,2003,0,1,0,0,0,0,0,0,0,0,0,0,1,250,0,0,0,0,0,0
11,3,Pride_and_Prejudice,5,2003,0,1,0,0,0,0,0,0,0,0,0,0,1,250,0,0,0,0,0,0
12,3,El_llibre_de_lHivern,5,2003,0,1,0,0,0,0,0,0,0,0,0,0,1,250,0,0,0,0,0,0
13,4,The_Pillars_of_the_Earth,5,2003,1,1,0,0,1,0,0,0,0,0,0,1,1,250,0,1,0,1,0,0
14,5,Ender_s_Game,5,1990,0,0,0,1,1,0,1,0,0,0,0,0,1,250,1,0,1,0,0,0
15,5,A_Brief_History_of_Time,5,1990,0,0,0,1,1,0,1,0,0,0,0,0,1,250,1,0,1,0,0,0
16,6,1984,5,2005,0,1,0,0,0,0,1,0,0,0,0,0,1,250,0,0,0,0,0,0
17,6,El_Orden_del_Tiempo,5,2005,0,1,0,0,0,0,1,0,0,0,0,0,1,250,0,0,0,0,0,0
18,7,Star_Wars_El_Ascenso_de_Skywalker,5,2005,0,0,0,1,0,0,0,0,0,0,0,0,1,150,1,0,0,0,0,1
19,8,The_Pillars_of_the_Earth,5,2003,0,1,0,0,1,0,0,0,0,0,0,1,0,350,1,0,0,0,0,0
20,8,El_hombre_en_busca_del_sentido,5,2003,0,1,0,0,1,0,0,0,0,0,0,1,0,350,1,0,0,0,0,0
21,8,El_libro_de_los_Abrazos,5,2003,0,1,0,0,1,0,0,0,0,0,0,1,0,350,1,0,0,0,0,0
22,8,El_nacimiento_de_la_tragedia,5,2003,0,1,0,0,1,0,0,0,0,0,0,1,0,350,1,0,0,0,0,0
23,9,Cien_anos_de_soledad,5,2002,1,0,0,0,1,0,0,0,0,0,0,1,1,250,0,0,0,0,0,0
24,10,The_Lord_of_the_Rings,5,2005,1,0,0,0,0,1,0,0,0,0,0,0,1,350,1,0,0,0,0,0
25,10,Harry_Potter_and_the_Philosophers_Stone,5,2005,1,0,0,0,0,1,0,0,0,0,0,0,1,350,1,0,0,0,0,0
26,11,The_Catcher_in_the_Rye,5,2002,0,0,1,1,1,1,0,0,0,0,0,1,1,100000000,1,0,0,1,1,0
27,11,Dune,5,2002,0,0,1,1,1,1,0,0,0,0,0,1,1,100000000,1,0,0,1,1,0
28,12,El_poder_de_confiar_en_ti,5,2004,0,1,0,0,0,0,0,1,0,0,0,1,0,100000000,1,0,0,0,1,0
29,12,Atomic_Habits,5,2004,0,1,0,0,0,0,0,1,0,0,0,1,0,100000000,1,0,0,0,1,0
30,12,El_Monje_que_Vendio_su_Ferrari,5,2004,0,1,0,0,0,0,0,1,0,0,0,1,0,100000000,1,0,0,0,1,0
31,12,Sapiens_A_Brief_History_of_Humankind,5,2004,0,1,0,0,0,0,0,1,0,0,0,1,0,100000000,1,0,0,0,1,0
32,13,The_Lord_of_the_Rings,5,2003,0,1,0,0,0,1,0,0,0,0,0,0,1,350,1,0,0,0,1,0
